,Review,flair_labels
92,first set ever ordered sokoglam wanted like much ive used benton products loved effects combination acneprone skin wanted give whole kritual try individual benton essence moisturizer cleared brightened skin everything set broke left dozens scars bumps blemishes dull complexion deal idea heal skin face cant go house without covering make mom wants see doc disappointed regret purchase havoc wrecked skin bank account set cost canadian cur 150 thinking try eliminate products causing acne used individual products usual regime skin saw respite one net net every product set caused break like said reading rave reviews watching promising videos really thought would game changer good way upsetting,0
93,finished using klairs toner eye acwell toner ingredients seemed great skin type combination oily acne prone sensitive first felt little disappointed toner thinner less hydrating klairs toner however week using noticed skin looked noticeably brighter realize klairs acwell toners may targeting different skin concerns might fair comparison overall acwell toner feels light skin doesnt sensitize acne see remove oil residue cotton pad satisfying think acwell toner great summer may go back klairs winter took one star havent noticed change hyper pigmentation yet toner less hydrating klairs toner,0
94,first using wrong since applying normal essences moisturizers try correctly regardlessim 29 years old woth combination extremely acne prone skin get lot cystic acne along chin sometimes guys stay forever without ever showing head use night next morning red bumps nice soft huge white head extract 2 3 days afterwards angry red spots start getting less inflamed noticeable get rid acne forever dont silly thing chemical peels accutane help lot love product even wear patches day cause kinda camouflages bright red bumps feel tiny bit confident,1
95,product harsh sensitive skin feels smooth skin wake glowing face,1
96,ranout month skin breaking like crazy didnt realize wonders til didnt use every morning night,0
97,goto travel cleanser use pump version home travel work often cleansing stick perfect dont worry liquid spillage road also make skin feel wonderful,1
98,got two samples included last order looking forward trying irritated cheeks moment contact wash im still going try exfoliating herb masks though,0
99,high hopes product extremely disappointed purchased last september ended throwing away mid october late return already problematic skin cystic acne cheeks thought skin couldnt get worse already right oh wrong moderate cystic acne clearing nature republic products became severe thought skin purging kept using mistake ended go doctor get authorization dermatology appointment doxycycline pills phosphate gel three months skin became bit better acne scars hyperpigmentation purchase careful,0
100,purchased skepticism big fan toners skin dry prefer get hydration heavier products like serums moisturizers product felt refreshing put products website see feel difference skin stopped using several weeks still firmly believe using two serums instead toner serum perhaps would work better gentle oil cleanser,0
101,ditched nena toner canada left face tight dry got klairs toner honestly surprised really hydrating didnt break yet face feels moisturized healthy,1
102,love calm soothing bought 2 since usually stock also youre feeling dry splash little mist good rest day,1
103,bought month ago using almost every day since light goes little sticky goes away leaves skin soft approximate consistency water feel like dont trouble dispensing bottle came didnt feel like needed transfer pump bottle like products avoid waste faint smell neither pleasant unpleasant goes away quickly overall im pleased purchase,1
104,best sunscreen ever white cast believe burn eyes sunscreen get guys trust best product ever deepica thank,1
105,like much theyre cute job quelling acne,1
106,first tried sample get top favorite skin care product ever cannot get enough even though little expensive still must love results essence plumps skin provides lot hydration also brightened skin month lightened acne scars cant wait repurchase,1
107,pleasantly surprised cleanser use cerave face wash,1
108,cannot praise product enough glides unto skin feels smooth soft skin also cleans well importantly doesnt break never switch anything else,1
109,received samples serum clear solution absorbs fast little goes long way theres hardly smell make face feel sticky heavy afterwards,1
110,love love toner much ive noticed really helps acne soothes skin,1
111,cause break tried give chance 2nd went 3rd week becoming worse definitely going back prescription tretinoin,0
112,sample wasnt enough really get feel,0
113,holy grail,1
114,toner amazing every time use pores gotten smaller toner feel dry hydrates one favorite toners date,1
115,felt soothing hydrating wasnt calming expected based claim packaging also made challenging get last drops bottle ive tried serums containing green tea panthenol seemed offer efficacy definitely gentle super sensitive skin,0
116,im new korean skincare essence bought rave reviews almost 23 weeks using morning night far price expecting longer lasting hydration good product definitely guess im gonna try something else im done,0
117,wasteful trying get bottle onto fingers feels even wasteful applying cotton pad otherwise love feel like im wasting lot,0
118,since received set 10 days ago diligently following 10 step routine feel difference skin texture tone usually breakout try product face set issues felt customised skin type however someone absolutely clue use products struggled much initially didnt applying much less wish detailed video,1
119,originally using cosrxs oilfree moisturizer liked used quickly decided switch good value overall like moisturizer oilycombo acneprone skin flaky around mouthchin make breakout enough dry patches probably better sensitive skin seeking light moisturization,1
120,received two samples essence pro little goes long way managed use single packet whole week cant really say hand two weeks using noticed difference regards previous essence skin general,1
121,really excited try serum based positive reviews first started skin probably best ever consistently thought could help brightening using days started break standard areas  areas rarely get blemishes stopped using skin kept getting worse thought could also hormones diet skin back normal couple weeks decided try sure big mistake skin worst years know purging happen vitamin c worth also felt really hot face really wish better experience im terrified try vitamin c serum,0
122,ive used klairs vitamin c years wanted try something new since stock time ive using since december give akon tomw react commenting skin reaction im postpartum stage skin flux im trying heal pregnancy melasma product doest jive skin leaves red irritated slightly painful may work others ill going back klairs,0
123,wherever apply patches begin feel burning sensation area becomes sensitive get rid acne flare skin around area,0
124,love big yellow box mirror inside super convenient hydrostars worked wonders acne flareups barely feel theyre face,1
125,tried many products life get rid dark acne scars yes faded years gave trying find miracle product tried sample put son park beauty water along strands organic saffron stems honestly couldnt believe within days saw difference acne scars im buying full size right,1
126,fell love left skin soft smooth,1
127,love finish feel cream made break thus use anymore dont acne prone skin def suggest,0
128,really wanted love product rave reviews however found didnt work well skin believe caused break multiple times might better dry normal skin didnt suit oily skin well,0
129,essence brightened skin noticed results using fir 1 week worth price,1
130,good product bad customer service,0
131,gotten products snail bee benton umbrella winning combination used daily skin care routine time carry smaller bottle life saver indeed full hydration sticky certainly leave remanence love much bought,1
132,got soko glam 10step dry skin kit like foaming action leave skin feeling tight im fine using summer wont able winter drying,0
133,product caused breakout eliminated product routine breakouts,0
134,update previous review product leaves tingle burning sensation application sensation probably due ahabhavitamin c content product sensation disappears quickly overall would recommend product sensitive skin,0
135,true cream cleanser starts creamy turns average foaming cleanser unfortunately makes drying,0
136,broke,0
137,ive using product 45 weeks cant say ive loved cystichormonal acne realize may better purchase bha product however feel though product necessarily live description dont think face felt significantly cleaner using wash light amount makeup use ie bb cream appreciate gentle irritate skin like others described also like scent overwhelming mind since washed anyways,0
138,bought hoping find cheaper alternative kiels moisturizer using past year even low price product worth product doesnt seem soak skin apply spf top bunch dry skin becomes immediately visible problem never encountered combination skin type reference,0
139,eye cream goes silky dries fast feels great feels softer eyes looks smoother sensitive skin worked great,1
140,slightly disappointed thought would better original sensitive skin seemed less effective still good moisturizing definitely prefer acwel 55 ph toner,0
141,like product natural ingredients easy use looks smells great however purchasing product noticed product really dries skin,0
142,think pulled white truffle lol love truffles product little liquidy liking prefer viscous serums especially since like use night really time serum morning lol hydrate skin feel like slippery didnt seem really penetrate skin like expected nothing groundbreaking mostly likely repurchase,0
143,sure much help essence would dry rosacea addled skin glad picked hydrating soothing noticed much fewer dry patches skin seems much brighter absorbs quickly scent stinging tightening sensation highly recommend product,1
144,always return soko glam get product usually try second must standard skin types,1
145,love toner seems help nourish calm easily irritated skin skin seems less red breakouts even starting go away completely ive using 3 weeks love far definitely great addition main skin routine,1
146,super excited ampoule didnt meet expectations packaging convenient although wish sustainable like glass product goes nicely soaks skin feels dry always follow emulsion therefore dont know would affect skin alone dont want break continue use products hydrate skin,0
147,hydrating best toner ive ever used alcohol free healing im love 1010 would recommend get itttt,1
148,patches didnt cause pimples vanish magically notice reduction size redness satisfying amount junk patch removed leave patches least 56 hours overnight definitely staying acne arsenal,1
149,think im little tan product unfortunately provided nice coverage darker shade still light side,0
150,love squeeze tube also love brightens hydrates skin definitely helped redness texture well boyfriend whos skin severely dry due accutane hes taking loves using cream well since keeps hi face moisturized doesnt break,1
151,mask hydrating leaves face glowing calms irritation totally hooked,1
152,favorite project bought soko glam cleanser works well combination skin dry,1
153,love easily applied however fond feel looking really dewy look feel product oily skin definitely would look elsewhere,0
154,sensitive skin prone breakouts mainly hormonal chin ive using 2 weeks ive noticed big difference moisture skin getting really dry even addition dense cream night still dry patches chin cheeks use twice day made big difference patches also im lazy use cotton pad clean face night dont wear face makeup get lot grime without feeling like face stripped like fragrant far hasnt broken worried,1
155,use pea sized amount massage skin wash pat dry physically feel skin tightening drying im sure thats goal hoping skin feel hydrated instead kind feels like im wearing mask afterwards cause skin dry tight afterwards combination skin dry chin area oily tzones hoping would add gentle hydration think overall felt stripping either way though might skin,0
156,lightweight scent immediately feel glowy plump,1
157,wanted love product received many great reviews saw real results using brighten skin help uneven skin tone disappointing,0
158,got cleanser reading rave reviews im quite disappointed dont see used around eyes since minute foam touches causes painful stinging also makes skin itch burns nose instead taking time luxuriating lovely bouncy foams good thing cleanser going find rushing process rinse fast canim also crazy cheap soapy fragrance really wanted like product beyond excited received ended feeling crushingly disappointed,0
159,sensitive skin therefore lot products break harsh skin toner however amazing ever since began using 2 times daily hardly break small blemishes 3 months ago ran product forgot order skin bad truly god sent product stand 100 recommend anyone,0
160,ive never able manage acne tried patches stop picking skin dont constant scars scabs face theyre cute,1
161,always got green tea pads time around decided get lemon pads since stubborn pigmentation acne im fond anything lemon scented pads smelled great definitely helped scars,1
162,absolutely love even tone face leave bright refreshed next day,1
163,best essence since ive ever used,1
164,ok didnt radically change skin,0
165,works well sometimes maybe im using wrong,0
166,bought toner skin dry cheeks red full acne tried several things make acne go away nothing working realized needed tone acne products try take care redness inflamed say toner really helped balanced skin made redness go away helped calmed acne bought december finished bottle today february 16 last quite bit acne prone skin dry combo skin id say really give product go meant cure acne pair stuff help soothe make go away im definetly getting another bottle,1
167,skin feels looks healthier,1
168,unlike cleanser ive ever used theres novelty factor still dont feel comfortable using sole eye makeup remover feel like risk breaking lashes great delicate application faint scent love use small amount cover whole face could see buying one runs,0
169,hi took chance buying wanted try kbeauty product needed essence personally pat toner use toner essence good watery doesnt matter highly prided skii essence also dont want essence thicker serums layer products use lightest texture heaviest okay said cooling soothing hydrating stickiness fermented products key skin balancing toning frmingyay,1
170,toner really good hydrating seems help moiturizer retaiment face pot longer im happy,1
171,calming nourishing,1
172,feels nice light skin moisturizing,1
173,havent seen difference face gave stars gets extra makeup dirt may left face face look clearerer scars still,0
174,bought cream serum together use cold dry winter months using together great skin like use night bit thicker think skin really absorbs night bit fresh scent someone sensitive skin hasnt bothered skin caused breakouts definitely recommend,1
175,strong alcohol smell unpleasant,0
176,outstanding moisturizer without greasy highly recommended,1
177,ive using cosrx snail mucin essence expecting natto bean like texture surprise light watery would great essence summer time need lighter hydrator,0
178,dry sensitive skin type easilyclogged pores formula reminds moisturizers cater laying underneath makeup hydration layer hydrators toner essence etc underneath work great alone rather thick cream lot payoff finish quite velvet matte know lot people prefer,0
179,definitely feel like toner helped remove excess impurities refreshing use however hydrating would like also like toner contains alcohol denat,0
180,know unscented smells like liquid plastic recommend people sensitive scents didnt help redness blemishes sensitive skin fact actually caused little whitehead pimples pro say hydrating probably find something better disappointed im love klairs products wanted toner holy grail,0
181,sent sample order loved ordered full container go product first step skin care love way skin feels wash takes days dirt makeup without drying skin skin feels hydrated soft also keep jar hand appears popular product,1
182,used one night one morning like far smell absolutely amazing smells like maple syrup makes enjoyable use texture isnt like many serums almost slimy tad water texture instead essencegel texture soaks skin bit faster serums seems like really soothing serum would good sensitive skin isnt chemicals continue use believe continue good,1
183,tried cream reading reviews disappoint tried another one klairs creams midnight blue calming cream didnt quite stack one oily skin like thicker moisturizers one heavy gives right amount nourishment tried midnight blue cream finishing first tube repurchasing im done,1
184,really hydrates locks moisture mix klairs vitamin drops put toner moisturizer great dry winter live,1
185,ive using almost month dont really see difference skin,0
186,came oily 10step combo set love packaging wipes make oily face even oily face looked like glazed doughnut matter many oilblotting sheets used,0
187,would think avocado oil would greasy oily skin moisturizer beats aqua bomb unlike moisturizer tried really feels like skin tall glass water hate product leaves residue feeling leaves skin baby smooth dont get honey skin thats okay looking something made feel hydrated exceeded expectations honest bought james welsh definitely favorite moisturizer far process clearing acne focusing adding plenty hydration normally 3 hours would look like glazed donut dont shine,0
188,bought product time bought benton snail bee essence realized using weeks although fantastic job healing acne scar hyperpigmentation allergic snail mucin making break sad stop using lotion really fantastic job moisturizing oily also dehydrated skin stopped skin flaking didnt make oily know love snail mucin wanting try first time great option wasnt allergic would time favorite return soko glam prompt giving full refund best customer service ive ever used youre nervous trying snail mucin easy safe way try excited try products benon soko glam offer,0
189,love moisturizer,1
190,tried sample size im confused feel firstly hate drying understand tea tree ingredient ive tried cleaning waters toners also hydrate also tried testing double cleansing see well removes leftover makeup klairs supple preparation facial toner acwells licorice ph balancing cleansing toner twice better job havent used long enough regularly see difference,0
191,product wonderful even first use could already feel improvement dry skin face using regularly days feel see improvement skin face looks feels much softer dry skin almost completely gone really like doesnt leave skin feeling greasy gross feeling use bottle seem small first received however literally takes tiny drip two cover entire face ive use face oil five days bottle still looks full overall satisfied face oil continue use,1
192,skin reactive products advertized sensitive skin calmed helped heal,1
193,wasnt impressed cleansing balm packaging nice product felt good good cur>6 oil using balm trying noticed texture skin got lot worse using product dont think product blame rather one using must good enough help issue one skin usually oily dehydrated sensitive,0
194,tried great reviews didnt work well hair already silky straight asian hair made even sleek almost oily heavy pass,0
195,favorite oil based cleansers dont like scent really dislike way feels skin cleans fine favorite would recommend,0
196,nothing bad say cleanser also dont praising words didnt improvement skin damage wont buying,0
197,hydrating doesnt irritate reason products made eyes itchy couldnt understand maybe allergic something idk ive absolutely issues,1
198,first days pimples became small redness also disappearing cream thick still works fine makeup put problem spots everywhere like package says works fine best cream ever used ones tried either make break sensitive skin make feel super dry especially price would say product 100 worth,1
199,absolutely favourite sunscreen far although little white cast sometimes ive blended nice lightweight doesnt feel like anything skin,1
200,face feels smooth completely hydrated product,1
201,something irritated skin much also dried alot,0
202,would theres alot product one jar hope guys never run,0
203,keeps moisture locked greasy,0
204,miracle right saw effects right away love price,1
205,first time tried new type technology really loved light airy feel bb foundation cream however noticed much dewey look definitely accustomed oilier effect end day like skin look bit matte cut shine would also layer loose powder guess comes preference,0
206,set got started never really skincare routine skin feels healthier rarely get acne minor goes away quickly ive using about67 months skin never looked better ive even gotten compliments glowing skin isnt timeconsuming anticipated got used routine get 1520 minutes including twice weekly mask favorite products oilbased cleanser moisturizer would say least favorite cc brightening treatment ampoule think ampoule results time thing purchased cc cream smells good im sure would purchase youre wondering worth money say go,0
207,love texture clean scent product time tell well works new korean face care regime already produced results expect purchasing,1
208,tried may different moisturizers feel good one often get dry skin nothing helps like one,0
209,absorbs effortlessly skin gentle simplei wanted keep going makes skin moist dewy grease stickiness heavy feeling,1
210,mediocre product didnt really leave skin feeling clean also doesnt draw impurities blackheads like thought would consistent use saw little difference,0
211,feels great skin responding great though skin doesnt really respond well much though think product,0
212,bought second bottle already since im worried without first time received suffering rash due aluminium makeup impatient wait try purchases soko im glad essence calmed healed rash within couple days essence im worried rashes trying different products works soothe skin,1
213,bought acne purposes used whole thing nothing aspect great hydration though,0
214,dried skin gave dehydration lines dehydrated skin proceed caution,0
215,first thing ever bought advice guy work anything buy online reservations came mail opened try pleasantly surprised watertoner ran toner day cheap thing got tj maxx hawaii liked didnt love absolutely love 38 still get acne pretty frequently double cleansing swiped cotton pad shocked light feeling well skin felt good tried last night morning already pimples chin almost gone well tell type bacteria dirt buildup going away light wonderful tingles really great way im hooked ive found toner highly recommend straight away waiting go buy right promise wont disappointed,1
216,appearance velocity water wouldnt say moisturizing skin appears smoother slightly brighter sensitivehyperpigmentation,0
217,someone oily oppositeofsensitive skin serum didnt much terms brightening acne scars hyperpigmentation believe 5 vitamin c gentle would better sensitive skin find skin looked brighter started using toner line 34 serum bottle im sure thats toner combination two serum nice consistency smells bit like dried mangoes,0
218,cleanser otherworldly gentle formula lathers beautifully immediately calms redness inflammation unlike cleansers skin feel dry tight use cant recommend product enough,1
219,moisturizer great oily skin absorbs quickly leaves stickiness also love fact tube applicator,1
220,good toner evening oily skin experience,1
221,high hopes sunscreen think finish better without dry skin matte finish preference also cast eventually settle skin youre get ready quick kinda person youll definitely need give time buffer let cast disappear guess good thing would sunscreen makes put 15 minutes go sun since takes long white cast disappear plus side weird smell applicator user friendly,0
222,serum gave pimples soon used since new whole routine thought question time skin get used nope 3 weeks using night skin become drier marked unsightly fine lines never ever seen top inflamed pimples random places forehead brows upper cheeks right eyes etc etc years since acne stoped using serum order even skin tone help fade away dark spots chinneck instead left even spots bad looking skin yay skin starting regenerate original state days using,0
223,came great masks ive enjoyed pampering,0
224,purchased used weekits refreshing toner leaves skin soft fresh without oily sticky products,1
225,beautiful product right amount exfoliation gentle skin highly recommend,1
226,love product gentle appreciate especially sensitive skin great job taking make also dont feel oily wash glad tried product,1
227,compressed pad way thin dont see purpose sponge pad youre going pat essence use fingers ill use go back buying shiseido cotton,0
228,acne pimple master working good helps avoid touching pimples,1
229,got year ago best toner ive ever others seem harsh skin never really noticed difference toner significantly minimized pores cant imagine going toner must even fiance double cleansing doesnt even know loves results trusts recommendations lol add cart,1
230,ok really thick cream youre oily side may like may want use night built globe really like trying think box enhance user experience didnt notice made little itchy first application caused irritation small spoti think maybe little heavy,0
231,title says vitamin c serum oxidized way fast ive used plenty vitamin c serums past none like disappointing waste money say great beginning bad holy grail vitamin c serum,0
232,works like charm help lot stubborn pimples didnt leave scaring love would 100 recommend thing would wish came,1
233,bought 3 colours thinking rosy peachy shades 3 orange peach shades,0
234,really swear sheet mask go acne redness onset breakouts truly miracle ingredient helps subdue irritants even husband hooked one wants apply ones nudge towards others line dont run im sure ive noticed reduction blemish marks skins definitely looks much calmer next day highly recommend,1
235,product made skin red irritated suspect essential oils known irritants new formulation drop ingredients seem quite good,0
236,like biopeel gauze peeling lemon lot works great,1
237,havent noticed much differencei find exfoliator side quite harsh sensitive skin,0
238,product bit strange say least sticky skin loves stuff made skin super plump hydrated,1
239,received product free try review influenster plump lips naturally dont normally buy lip plumpers ones tried one would actually favorite tingle super intense sensation like plumpers find tolerable dont think expect super juicy lips using gives nice subtle plumpness lips,0
240,bought rv far best face mask ive tried thought face suddenly poreless used loved,1
241,easy apply doesnt strong smell doesnt leave white residue buy,1
242,stuff slimy wouldnt use super hard wash,0
243,ordered 3 weeks havent received product yet,0
244,found mine tjmaxx love much feels really refreshing put face cleansing,1
245,unfortunately didnt much hydrating skin heavy strong smell didnt anything skin,0
246,mask left skin feeling super calmed fresh,1
247,water face mask thick heavy face left sit face felt like damp wash cloth fruit extracts skin made skin felt like come back spa,0
248,work actually stick stay,0
249,product amazing doubts first gave chance super love light super gentle product gives fresh healthy skin ive wanting definitely keep using,1
250,bought juicy orange love sheer like glossy type look super easy put almost glides say smell taste isnt favorite kinda smells like lemons something similar doesnt smell bad favorite smell,1
251,super light fragrance makes skin feel soft happy product,1
252,work wonders get hormonal acne freakin spot chin every month like clockwork put go bed spot 90 resolved dont even really need put cover love,1
253,essence amazing soothing feel hydrating skin soon put absorbs quickly skin ive using twice day face neck,1
254,mask skin feel hydrated refreshed,0
255,gave sister waiting 20 minutes redness die,0
256,ive using product 2 weeks every time use face burns bought use alongside green tea cleansing stick help fade acne scars even tone skin want keep using see improve time every day past two weeks made face burn follow moisturizer face still burns moisturizer anyone else problem another product would work better,0
257,excited try based review love smell texture although love feel like throughly cleaned everything face use part double cleanser routine overall good product sure purchase good points smell light great texture doesnt make face feel tight dry afterward make face feel smooth cons doesnt clean throughly,0
258,cleanser really took surprise sensitive dry acne prone skin like initially gave small breakout first used scented however using 2 weeks noticed big change smoother skin,0
259,tried first time today love,1
260,got free influenster packaging cute simple ouch hurts little goes lonnnnnggggg way take much think small amount cut half youre welcome,0
261,good product dissolves difficult either toner serum making difficult use,0
262,oil cleanser clean zero far favorite definitely reorder,1
